Code,ICD-10 definition,Type of death
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Intentional self-harm
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",Intentional self-harm
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",Intentional self-harm
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,Intentional self-harm
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Intentional self-harm
X65,Intentional self-poisoning by and exposure to alcohol,Intentional self-harm
X66,Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,Intentional self-harm
X67,Intentional self-poisoning by and exposure to carbon monoxide and other gases and vapours,Intentional self-harm
X68,Intentional self-poisoning by and exposure to pesticides,Intentional self-harm
X69,Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances,Intentional self-harm
X70,"Intentional self-harm by hanging, strangulation and suffocation",Intentional self-harm
X71,Intentional self-harm by drowning and submersion,Intentional self-harm
X72,Intentional self-harm by handgun discharge,Intentional self-harm
X73,"Intentional self-harm by rifle, shotgun and larger firearm discharge",Intentional self-harm
X74,Intentional self-harm by other and unspecified firearm discharge,Intentional self-harm
X75,Intentional self-harm by explosive material,Intentional self-harm
X76,"Intentional self-harm by smoke, fire and flames",Intentional self-harm
X77,"Intentional self-harm by steam, hot vapours and hot objects",Intentional self-harm
X78,Intentional self-harm by sharp object,Intentional self-harm
X79,Intentional self-harm by blunt object,Intentional self-harm
X80,Intentional self-harm by jumping from a high place,Intentional self-harm
X81,Intentional self-harm by jumping or lying before moving object,Intentional self-harm
X82,Intentional self-harm by crashing of motor vehicle,Intentional self-harm
X83,Intentional self-harm by other specified means,Intentional self-harm
X84,Intentional self-harm by unspecified means,Intentional self-harm
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent",Injury or poisoning of undetermined intent
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",Injury or poisoning of undetermined intent
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",Injury or poisoning of undetermined intent
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",Injury or poisoning of undetermined intent
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Injury or poisoning of undetermined intent
Y15,"Poisoning by and exposure to alcohol, undetermined intent",Injury or poisoning of undetermined intent
Y16,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent",Injury or poisoning of undetermined intent
Y17,"Poisoning by and exposure to carbon monoxide and other gases and vapours, undetermined intent",Injury or poisoning of undetermined intent
Y18,"Poisoning by and exposure to pesticides, undetermined intent",Injury or poisoning of undetermined intent
Y19,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent",Injury or poisoning of undetermined intent
Y20,"Hanging, strangulation and suffocation, undetermined intent",Injury or poisoning of undetermined intent
Y21,"Drowning and submersion, undetermined intent",Injury or poisoning of undetermined intent
Y22,"Handgun discharge, undetermined intent",Injury or poisoning of undetermined intent
Y23,"Rifle, shotgun and larger firearm discharge, undetermined intent",Injury or poisoning of undetermined intent
Y24,"Other and unspecified firearm discharge, undetermined intent",Injury or poisoning of undetermined intent
Y25,"Contact with explosive material, undetermined intent",Injury or poisoning of undetermined intent
Y26,"Exposure to smoke, fire and flames, undetermined intent",Injury or poisoning of undetermined intent
Y27,"Contact with steam, hot vapours and hot objects, undetermined intent",Injury or poisoning of undetermined intent
Y28,"Contact with sharp object, undetermined intent",Injury or poisoning of undetermined intent
Y29,"Contact with blunt object, undetermined intent",Injury or poisoning of undetermined intent
Y30,"Falling, jumping or pushed from a high place, undetermined intent",Injury or poisoning of undetermined intent
Y31,"Falling, lying or running before or into moving object, undetermined intent",Injury or poisoning of undetermined intent
Y32,"Crashing of motor vehicle, undetermined intent",Injury or poisoning of undetermined intent
Y33,"Other specified events, undetermined intent",Injury or poisoning of undetermined intent
Y34,"Unspecified event, undetermined intent",Injury or poisoning of undetermined intent
